kanji	jlpt	grade	freq	strokes	learned	ref_sh_kk	on'yomi	KD on'yomi	kun'yomi	KD kun'yomi	meaning	KD meaning
論	3	6	227	15	1010	293	ロン	ロン		あげつら･う	theory, discussion, argument	argument, discourse
他	3	3	543	5	1012	120	タ	タ	ほか	ほか	other, another	other, another, the others
区	2	3	137	4	253	183	ク	ク, オウ, コウ			district, ward	ward, district
軽	2	3	790	12	254	547	ケイ	ケイ, キョウ, キン	かる(い), かろ(やか)	かる･い, かろ･やか, かろ･んじる	light, insignificant	lightly, trifling, unimportant
県	2	3	140	9	255	194	ケン	ケン		か･ける	prefecture	prefecture
菜	2	4	1327	11	259	931	サイ	サイ	な	な	vegetable	vegetable, side dish, greens
弱	2	2	958	10	262	218	ジャク	ジャク	よわ(い), よわ(る), よわ(まる), よわ(める)	よわ･い, よわ･る, よわ･まる, よわ･める	weak	weak, frail
森	2	1	609	12	267	128	シン	シン	もり	もり	woods, forest	forest, woods
村	2	1	253	7	272	191	ソン	ソン	むら	むら	village	village, town
短	2	3	689	12	274	215	タン	タン	みじか(い)	みじか･い	short	short, brevity, fault, defect, weak point
池	2	2	827	6	275	119	チ	チ	いけ	いけ	pond	pond, cistern, pool, reservoir
低	2	4	435	7	276	561	テイ	テイ	ひく(い), ひく(まる), ひく(める)	ひく･い, ひく･める, ひく･まる	low	lower, short, humble
門	2	2	452	8	280	161	モン	モン	かど	かど, と	gate	gate, counter for cannons
浅	2	4	1253	9	285	649	セン	セン	あさ(い)	あさ･い	shallow, superficial	shallow, superficial, frivolous, wretched, shameful
預	2	6	981	13	286	394	ヨ	ヨ	あず(ける), あず(かる)	あず･ける, あず･かる	entrust, deposit	deposit, custody, leave with, entrust to
汗	2	8	1502	6	287	1188	カン	カン	あせ	あせ	sweat, perspiration	sweat, perspire
温	2	3	838	12	291	634	オン	オン	あたた(か), あたた(かい), あたた(める), あたた(まる), ぬる(い)	あたた･か, あたた･かい, あたた･まる, あたた･める, ぬく	warm, warmth, tepid	warm
辺	2	4	428	5	294	775	ヘン	ヘン	あた(り), べ	あた･り, ほと･り, -べ	vicinity, neighborhood	environs, boundary, border, vicinity
圧	2	5	718	5	296	1342	アツ	アツ, エン, オウ		お･す, へ･す, おさ･える, お･さえる	pressure	pressure, push, overwhelm, oppress, dominate
厚	2	5	768	9	298	639	コウ	コウ	あつ(い)	あつ･い, あか	thick, kind, cordial	thick, heavy, rich, kind, cordial, brazen, shameless
跡	2	8	953	13	299	1569	セキ	セキ	あと	あと	mark, trace, remains	tracks, mark, print, impression
暴	2	5	692	15	300	1014	ボウ, バク	ボウ, バク	あば(く), あば(れる)	あば･く, あば･れる	violent, rage, disclose, expose	outburst, rave, fret, force, violence, cruelty, outrage
浴	2	4	1136	10	301	1128	ヨク	ヨク	あ(びる), あ(びせる)	あ･びる, あ･びせる	bathe	bathe, be favored with, bask in
油	2	3	690	8	303	364	ユ	ユ, ユウ	あぶら	あぶら	oil	oil, fat
脂	2	8	1548	10	304	1042	シ	シ	あぶら	あぶら	fat	fat, grease, tallow, lard, rosin, gum, tar
甘	2	8	1248	5	305	1492	カン	カン	あま(い), あま(える), あま(やかす)	あま･い, あま･える, あま･やかす, うま･い	sweet, indulgent	sweet, coax, pamper, be content, sugary
編	2	5	591	15	307	682	ヘン	ヘン	あ(む)	あ･む, -あ･み	knit, compile	compilation, knit, plait, braid, twist, editing, completed poem, part of a book
荒	2	8	1099	9	310	1377	コウ	コウ	あら(い), あ(れる), あ(らす)	あ･らす, あ･れる, あら･い, すさ･ぶ, すさ･む, あ･らし	rough, wild, violent	laid waste, rough, rude, wild
