kanji	jlpt	grade	freq	strokes	learned	ref_sh_kk	ref_sh_kk2	on'yomi	KD on'yomi	kun'yomi	KD kun'yomi	meaning	KD meaning	time_learned
姉	4	2	1473	8	97	407		シ	シ	あね	あね, はは	older sister	elder sister	
有	4	3	282	6	98	265	265	ユウ, ウ	ユウ, ウ	あ(る)	あ･る	have, exist	possess, have, exist, happen, occur, approx	
安	4	3	144	6	99	105	105	アン	アン	やす(い)	やす･い, やす･まる, やす, やす･らか	peaceful, cheap	relax, cheap, low, quiet, rested, contented, peaceful	
医	4	3	437	7	100	220	220	イ	イ		い･やす, い･する, くすし	medicine, doctor	doctor, medicine	
意	4	3	99	13	101	132	132	イ	イ			mind, heart, attention	idea, mind, heart, taste, thought, desire, care, liking	
以	4	4	126	5	102	46	46	イ	イ		もっ･て	with, from, by means of, compared with	by means of, because, in view of, compared with	
言	4	2	83	7	103	66	66	ゲン, ゴン	ゲン, ゴン	い(う), こと	い･う, こと	word, say, speech	say, word	
急	4	3	309	9	104	303	303	キュウ	キュウ	いそ(ぐ)	いそ･ぐ, いそ･ぎ, せ･く	hurry	hurry, emergency, sudden, steep	
家	4	2	133	10	105	165	165	カ, ケ	カ, ケ	いえ, や	いえ, や, うち	house, family	house, home, family, professional, expert, performer	
犬	4	1	1326	4	106	280	280	ケン	ケン	いぬ	いぬ, いぬ-	dog	dog	
妹	4	2	1446	8	107	408		マイ	マイ	いもうと	いもうと	younger sister	younger sister	
色	4	2	621	6	108	204	204	ショク, シキ	ショク, シキ	いろ	いろ	color	color	
音	4	1	491	9	109	347	347	オン, イン	オン, イン, -ノン	おと, ね	おと, ね	sound	sound, noise	
員	4	3	54	10	110	163	163	イン	イン			member, official	employee, member, number, the one in charge	
院	4	3	150	10	111	614		イン	イン			institution	Inst., institution, temple, mansion, school	
飲	4	3	969	12	112	323	323	イン	イン, オン	の(む)	の･む, -の･み	drink	drink, smoke, take	
魚	4	2	1208	11	113	290	290	ギョ	ギョ	うお, さかな	うお, さかな, -ざかな	fish	fish	
動	4	3	73	11	114	231	231	ドウ	ドウ	うご(く), うご(かす)	うご･く, うご･かす	move	move, motion, change, confusion, shift, shake	
牛	4	2	1202	4	115	281	281	ギュウ	ギュウ	うし	うし	cattle	cow	
歌	4	2	519	14	116	392		カ	カ	うた, うた(う)	うた, うた･う	song, sing	song, sing	
写	4	3	453	5	117	540		シャ	シャ, ジャ	うつ(す), うつ(る)	うつ･す, うつ･る, うつ-, うつ･し	copy	copy, be photographed, describe	
映	4	6	404	9	118	352		エイ	エイ	うつ(る), うつ(す), は(える)	うつ･る, うつ･す, は･える, -ば･え	reflect, project	reflect, reflection, projection	
海	4	2	200	9	119	117	117	カイ	カイ	うみ	うみ	sea, ocean	sea, ocean	
売	4	2	202	7	120	239	239	バイ	バイ	う(る)	う･る, う･れる	sell	sell	
運	4	3	255	12	121	439		ウン	ウン	はこ(ぶ)	はこ･ぶ	carry, luck	carry, luck, destiny, fate, lot, transport, progress, advance	
重	4	3	193	9	122	227	227	ジュウ, チョウ	ジュウ, チョウ	え, おも(い), かさ(なる), かさ(ねる)	え, おも･い, おも･り, おも･なう, かさ･ねる, かさ･なる, おも	heavy	heavy, important, esteem, respect, heap up, pile up, nest of boxes, -fold	
英	4	4	430	8	123	353		エイ	エイ		はなぶさ	England, grand	England, English, hero, outstanding, calyx	
駅	4	3	724	14	124	284	284	エキ	エキ			station	station	
終	4	3	256	11	125	458		シュウ	シュウ	お(わる), お(える)	お･わる, -お･わる, おわ･る, お･える, つい, つい･に	finish	end, finish	
多	4	2	139	6	126	229	229	タ	タ	おお(い)	おお･い, まさ･に, まさ･る	many, frequent, much	many, frequent, much	
起	4	3	374	10	127	373		キ	キ	お(きる), お(こる), お(こす)	お･きる, お･こる, お･こす, おこ･す, た･つ	get up, rise	rouse, wake up, get up	
屋	4	3	616	9	128	167	167	オク	オク	や	や	roof, house, shop	roof, house, shop, dealer, seller	
送	4	3	311	9	129	441		ソウ	ソウ	おく(る)	おく･る	send	escort, send	
教	4	2	166	11	130	245	245	キョウ	キョウ	おし(える), おそ(わる)	おし･える, おそ･わる	teach, faith	teach, faith, doctrine	
弟	4	2	1161	7	131	405		テイ, ダイ	テイ, ダイ, デ	おとうと	おとうと	younger brother	younger brother, faithful service to elders	
同	4	2	15	6	132	198	198	ドウ	ドウ	おな(じ)	おな･じ	same	same, agree, equal	
主	4	3	95	5	133	155	155	シュ	シュ, ス, シュウ	おも, ぬし	ぬし, おも, あるじ	main, master	lord, chief, master, main thing, principal	
思	4	2	132	9	134	99	99	シ	シ	おも(う)	おも･う, おもえら･く, おぼ･す	think	think	
親	4	2	406	16	135	175	175	シン	シン	おや, した(しい)	おや, おや-, した･しい, した･しむ	parent, familiar	parent, intimacy, relative, familiarity, dealer (cards)	
花	4	1	578	7	136	255	255	カ	カ, ケ	はな	はな	flower	flower	
夏	4	2	659	10	137	461		カ	カ, ガ, ゲ	なつ	なつ	summer	summer	
画	4	2	199	8	138	343	343	ガ, カク	ガ, カク, エ, カイ		えが･く, かく･する, かぎ･る, はかりごと, はか･る	picture, drawing	brush-stroke, picture	
界	4	3	158	9	139	454		カイ	カイ			world	world, boundary	
買	4	2	520	12	140	241	241	バイ	バイ	か(う)	か･う	buy	buy	
帰	4	2	504	10	141	317	317	キ	キ	かえ(る), かえ(す)	かえ･る, かえ･す, おく･る, とつ･ぐ	return	homecoming, arrive at, lead to, result in	
代	4	3	66	5	142	256	256	ダイ, タイ	ダイ, タイ	か(える), か(わる), しろ, よ	か･わる, かわ･る, かわ･り, か･わり, -がわ･り, -が･わり, か･える, よ, しろ	substitute, period, fee	substitute, change, convert, replace, period, age, counter for decades of ages, eras, etc., generation, charge, rate, fee	
楽	4	2	373	13	143	358		ガク, ラク	ガク, ラク, ゴウ	たの(しい), たの(しむ)	たの･しい, たの･しむ, この･む	pleasure, music	music, comfort, ease	
風	4	2	558	9	144	29	29	フウ, フ	フウ, フ	かぜ	かぜ, かざ-	wind, style	wind, air, style, manner	
貸	4	5	995	12	145	748		タイ	タイ	か(す)	か･す, か･し-, かし-	lend	lend	
方	4	2	46	4	146	70	70	ホウ	ホウ	かた	かた, -かた, -がた	person, way, direction	direction, person, alternative	
紙	4	2	559	10	147	180	180	シ	シ	かみ	かみ	paper	paper	
通	4	2	80	10	148	150	150	ツウ	ツウ, ツ	とお(る), とお(す), かよ(う)	とお･る, とお･り, -とお･り, -どお･り, とお･す, とお･し, -どお･し, かよ･う	pass, communicate	traffic, pass through, avenue, commute, counter for letters, notes, documents, etc.	
体	4	2	88	7	149	61	61	タイ, テイ	タイ, テイ	からだ	からだ, かたち	body, form	body, substance, object, reality, counter for images	
借	4	4	932	10	150	766		シャク	シャク	か(りる)	か･りる	borrow, rent	borrow, rent	
漢	4	3	1487	13	151	556		カン	カン			Chinese	Sino-, China	
館	4	3	613	16	152	327	327	カン	カン	やかた	やかた, たて	building, palace	building, mansion, large building, palace	
元	4	2	192	4	153	137	137	ゲン, ガン	ゲン, ガン	もと	もと	beginning, origin	beginning, former time, origin	
考	4	2	196	6	154	541		コウ	コウ	かんが(える)	かんが･える, かんが･え	think, consider	consider, think over	
着	4	3	376	12	155	657		チャク	チャク, ジャク	き(る), き(せる), つ(く), つ(ける)	き･る, き･せる, つ･く, つ･ける	wear, arrive	don, arrive, wear, counter for suits of clothing	
究	4	3	368	7	156	895		キュウ	キュウ, ク	きわ(める)	きわ･める	study, research	research, study	
去	4	3	440	5	157	414		キョ, コ	キョ, コ	さ(る)	さ･る, -さ･る	leave, gone, past	gone, past, quit, leave, elapse, eliminate, divorce	
京	4	2	74	8	158	189	189	キョウ, ケイ	キョウ, ケイ, キン		みやこ	capital	capital, 10**16	
強	4	2	112	11	159	217	217	キョウ, ゴウ	キョウ, ゴウ	つよ(い), つよ(まる), つよ(める), し(いる)	つよ･い, つよ･まる, つよ･める, し･いる, こわ･い	strong	strong	
業	4	3	43	13	160	279	279	ギョウ, ゴウ	ギョウ, ゴウ	わざ	わざ	work, business, industry	business, vocation, arts, performance	
切	4	2	324	4	161	39	39	セツ	セツ, サイ	き(る), き(れる)	き･る, -き･る, き･り, -き･り, -ぎ･り, き･れる, -き･れる, き･れ, -き･れ, -ぎ･れ	cut	cut, cutoff, be sharp	
近	4	2	194	7	162	445		キン	キン, コン	ちか(い)	ちか･い	near, recent	near, early, akin, tantamount	
銀	4	3	395	14	163	313	313	ギン	ギン	しろがね	しろがね	silver	silver	
口	4	1	284	3	164	54	54	コウ, ク	コウ, ク	くち	くち	mouth	mouth	
工	4	2	299	3	165	139	139	コウ, ク	コウ, ク, グ			construction, craft	craft, construction, katakana e radical (no. 48)	
黒	4	2	573	11	166	206	206	コク	コク	くろ(い)	くろ, くろ･ずむ, くろ･い	black	black	
計	4	2	228	9	167	340	340	ケイ	ケイ	はか(る), はか(らう)	はか･る, はか･らう	plan, measure	plot, plan, scheme, measure	
研	4	3	336	9	168	896		ケン	ケン	と(ぐ)	と･ぐ	polish, sharpen, study	polish, study of, sharpen	
建	4	4	300	9	169	892		ケン	ケン, コン	た(つ), た(てる)	た･てる, た･て, -だ･て, た･つ	build	build	
験	4	4	410	18	170	532		ケン	ケン, ゲン		あかし, しるし, ため･す, ためし	test	verification, effect, testing	
古	4	2	509	5	171	172	172	コ	コ	ふる(い), ふる(す)	ふる･い, ふる-, -ふる･す	old, ancient	old	
広	4	2	263	5	172	694		コウ	コウ	ひろ(い), ひろ(まる), ひろ(める), ひろ(がる), ひろ(げる)	ひろ･い, ひろ･まる, ひろ･める, ひろ･がる, ひろ･げる	wide, broad	wide, broad, spacious	
心	4	2	157	4	173	97	97	シン	シン	こころ	こころ, -ごころ	heart, mind	heart, mind, spirit, heart radical (no. 61)	
試	4	4	392	13	174	526		シ	シ	ため(す), こころ(みる)	こころ･みる, ため･す	try, test	test, try, attempt, experiment, ordeal	
答	4	2	486	12	175	160	160	トウ	トウ	こた(え), こた(える)	こた･える, こた･え	answer, solution	solution, answer	
事	4	3	18	8	176	80	80	ジ	ジ, ズ	こと	こと, つか･う, つか･える	thing, matter, affair	matter, thing, fact, business, reason, possibly	
転	4	3	327	11	177	433		テン	テン	ころ(がる), ころ(げる), ころ(がす), ころ(ぶ)	ころ･がる, ころ･げる, ころ･がす, ころ･ぶ, まろ･ぶ, うたた, うつ･る, くる･めく	revolve, turn	revolve, turn around, change	
作	4	2	103	7	178	360		サク, サ	サク, サ	つく(る)	つく･る, つく･り, -づく･り	make, prepare, build	make, production, prepare, build	
茶	4	2	1116	9	179	251	251	チャ, サ	チャ, サ			tea	tea	
早	4	1	402	6	180	248	248	ソウ	ソウ, サッ	はや(い), はや(まる), はや(める)	はや･い, はや, はや-, はや･まる, はや･める, さ-	early, fast	early, fast	
止	4	2	310	4	181	477		シ	シ	と(まる), と(める), とど(める), とど(まる), や(める), や(む), よ(す)	と･まる, -ど･まり, と･める, -と･める, -ど･め, とど･める, とど･め, とど･まる, や･める, や･む, -や･む, よ･す, -さ･す, -さ･し	stop	stop, halt	
自	4	2	19	6	182	62	62	ジ, シ	ジ, シ	みずか(ら)	みずか･ら, おの･ずから, おの･ずと	self	oneself	
仕	4	3	439	5	183	333	333	シ	シ, ジ	つか(える)	つか･える	serve, attend	attend, doing, official, serve	
死	4	3	229	6	184	85	85	シ	シ	し(ぬ)	し･ぬ, し･に-	die, death	death, die	
始	4	3	244	8	185	494		シ	シ	はじ(まる), はじ(める)	はじ･める, -はじ･める, はじ･まる	begin	commence, begin	
使	4	3	219	8	186	331	331	シ	シ	つか(う)	つか･う, つか･い, -つか･い, -づか･い	use	use, send on a mission, order, messenger, envoy, ambassador, cause	
私	4	6	242	7	187	125	125	シ	シ	わたし, わたくし	わたくし, わたし	private, I	private, I, me	
地	4	2	40	6	188	118	118	チ, ジ	チ, ジ			ground, land, earth	ground, earth	
持	4	3	119	9	189	451		ジ	ジ	も(つ)	も･つ, -も･ち, も･てる	have, hold	hold, have	
質	4	5	389	15	190	176	176	シツ, シチ	シツ, シチ, チ		たち, ただ･す, もと, わりふ	quality, nature	substance, quality, matter, temperament	
室	4	2	550	9	191	166	166	シツ	シツ	むろ	むろ	room	room, apartment, chamber, greenhouse, cellar	
品	4	3	225	9	192	230	230	ヒン	ヒン, ホン	しな	しな	article, goods, quality	goods, refinement, dignity, article, counter for meal courses	
社	4	2	21	7	193	308	308	シャ	シャ	やしろ	やしろ	company, shrine	company, firm, office, association, shrine	
者	4	3	38	8	194	164	164	シャ	シャ	もの	もの	person	someone, person	
手	4	1	60	4	195	57	57	シュ	シュ, ズ	て	て, て-, -て, た-	hand	hand	
週	4	2	540	11	196	92	92	シュウ	シュウ			week	week	
習	4	3	706	11	197	591		シュウ	シュウ, ジュ	なら(う)	なら･う, なら･い	learn	learn	
住	4	3	270	7	198	156	156	ジュウ	ジュウ, ヂュウ, チュウ	す(む), す(まう)	す･む, す･まう, -ず･まい	live, dwell, reside	dwell, reside, live, inhabit	
春	4	2	579	9	199	460		シュン	シュン	はる	はる	spring (season)	springtime, spring (season)	
正	4	1	143	5	200	275	275	セイ, ショウ	セイ, ショウ	ただ(しい), ただ(す), まさ	ただ･しい, ただ･す, まさ, まさ･に	right, correct	correct, justice, righteous, 10**40	
少	4	2	287	4	201	144	144	ショウ	ショウ	すく(ない), すこ(し)	すく･ない, すこ･し	little, few	few, little	
場	4	2	52	12	202	154	154	ジョウ	ジョウ, チョウ	ば	ば	place	location, place	
知	4	2	205	8	203	214	214	チ	チ	し(る)	し･る, し･らせる	know	know, wisdom	
真	4	3	279	10	204	422		シン	シン	ま	ま, ま-, まこと	true, reality	true, reality, Buddhist sect	
図	4	2	539	7	205	339	339	ズ, ト	ズ, ト	はか(る)	え, はか･る	drawing, plan	map, drawing, plan, extraordinary, audacious	
世	4	3	135	5	206	252	252	セイ, セ	セイ, セ, ソウ	よ	よ	world, era	generation, world, society, public	
夕	4	1	924	3	207	81	81	セキ	セキ	ゆう	ゆう	evening	evening	
走	4	2	626	7	208	429		ソウ	ソウ	はし(る)	はし･る	run	run	
族	4	3	393	11	209	221	221	ゾク	ゾク			family, tribe	tribe, family	
注	4	3	497	8	210	357		チュウ	チュウ	そそ(ぐ)	そそ･ぐ, さ･す, つ･ぐ	note, pour	pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate	
田	4	1	90	5	211	35	35	デン	デン	た	た	rice field	rice field, rice paddy	
